hylak_id,ACR_CR,ACR_EN,ACR_VU,ACR_NT,CNEI_CR,CNEI_EN,CNEI_VU,CNEI_NT,sp_count_CR,sp_count_EN,sp_count_VU,sp_count_NT,exposure_scenario
7894.0,0.0,39.97340738,119.92022214,239.84044428,0.0,39.97340738,39.97340738,47.968088856,0.0,1.0,3.0,5.0,S0_baseline
8088.0,0.0,308.4957708,205.6638472,925.4873124,0.0,154.2478854,102.8319236,132.2124732,0.0,2.0,2.0,7.0,S0_baseline
8239.0,0.0,146.22170266,219.33255399,584.88681064,0.0,73.11085133,73.11085133,83.55525866285714,0.0,2.0,3.0,7.0,S0_baseline
8729.0,0.0,155.8968112,155.8968112,389.742028,0.0,77.9484056,77.9484056,77.9484056,0.0,2.0,2.0,5.0,S0_baseline
9076.0,0.0,0.0,118.38075175,94.7046014,0.0,0.0,29.5951879375,23.67615035,0.0,0.0,4.0,4.0,S0_baseline
9407.0,0.0,0.0,201.95275524,252.44094405,0.0,0.0,50.48818881,50.48818881,0.0,0.0,4.0,5.0,S0_baseline
9412.0,0.0,0.0,222.8680412,167.1510309,0.0,0.0,55.7170103,55.7170103,0.0,0.0,4.0,3.0,S0_baseline
9631.0,0.0,0.0,226.37156038,226.37156038,0.0,0.0,45.274312076,45.274312076,0.0,0.0,5.0,5.0,S0_baseline
9637.0,0.0,0.0,126.48804675,126.48804675,0.0,0.0,25.29760935,25.29760935,0.0,0.0,5.0,5.0,S0_baseline
9669.0,0.0,0.0,104.07821226,121.42458097,0.0,0.0,26.019553065,24.284916194,0.0,0.0,4.0,5.0,S0_baseline
10001.0,26.85361627,0.0,80.56084881,107.41446508,26.85361627,0.0,26.85361627,26.85361627,1.0,0.0,3.0,4.0,S0_baseline
10024.0,44.69692538,0.0,134.09077614,178.78770152,44.69692538,0.0,44.69692538,44.69692538,1.0,0.0,3.0,4.0,S0_baseline
10262.0,162.6944907,162.6944907,488.0834721,650.7779628,162.6944907,162.6944907,162.6944907,162.6944907,1.0,1.0,3.0,4.0,S0_baseline
10383.0,29.35811764,0.0,58.71623528,117.43247056,29.35811764,0.0,29.35811764,29.35811764,1.0,0.0,2.0,4.0,S0_baseline
10386.0,92.8107877,0.0,278.43236310000003,371.2431508,92.8107877,0.0,92.8107877,92.8107877,1.0,0.0,3.0,4.0,S0_baseline
10595.0,28.13179208,0.0,112.52716832,112.52716832,28.13179208,0.0,28.13179208,28.13179208,1.0,0.0,4.0,4.0,S0_baseline
10655.0,24.23221065,24.23221065,72.69663195,96.9288426,24.23221065,24.23221065,24.23221065,24.23221065,1.0,1.0,3.0,4.0,S0_baseline
11471.0,17.87121228,0.0,53.613636840000005,71.48484912,17.87121228,0.0,17.87121228,17.87121228,1.0,0.0,3.0,4.0,S0_baseline
12761.0,17.17108794,0.0,51.51326382,85.8554397,17.17108794,0.0,17.17108794,17.17108794,1.0,0.0,3.0,5.0,S0_baseline
13846.0,44.18352772,132.55058316,132.55058316,353.46822176,44.18352772,44.18352772,44.18352772,44.18352772,1.0,3.0,3.0,8.0,S0_baseline
13941.0,18.13554901,0.0,54.40664703,108.81329406,18.13554901,0.0,18.13554901,18.13554901,1.0,0.0,3.0,6.0,S0_baseline
13975.0,81.46446396,244.39339188,407.3223198,651.71571168,81.46446396,81.46446396,81.46446396,81.46446396,1.0,3.0,5.0,8.0,S0_baseline
14014.0,19.2270781,38.4541562,76.9083124,134.5895467,19.2270781,19.2270781,19.2270781,19.2270781,1.0,2.0,4.0,7.0,S0_baseline
14208.0,188.5793055,377.158611,1508.634444,1508.634444,188.5793055,188.5793055,188.5793055,188.5793055,1.0,2.0,8.0,8.0,S0_baseline
14249.0,82.10226428,82.10226428,492.61358568,656.81811424,82.10226428,82.10226428,82.10226428,82.10226428,1.0,1.0,6.0,8.0,S0_baseline
